Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Slider Control #3	Slider #2
	Frame		
	907	0.789846	
	908	1.29825	
	909	1.16075	
	910	1.25233	
	911	1.29405	
	912	0.8683	
	913	1.01907	
	914	1.27871	
	915	1.32219	
	916	1.0077	
	917	1.87583	
	918	0.858327	
	919	1.23126	
	920	0.861111	
	921	1.71851	
	922	1.02581	
	923	1.05968	
	924	1.06192	
	925	1.25558	
	926	1.24996	
	927	1.08213	
	928	1.23042	
	929	0.707987	
	930	1.41992	
	931	0.708743	
	932	1.16956	
	933	0.839353	
	934	1.32837	
	935	1.1901	
	936	0.872198	
	937	1.26034	
	938	0.789931	
	939	1.2862	
	940	0.722205	
	941	0.903846	
	942	0.695674	
	943	0.894857	
	944	0.949833	
	945	0.803817	
	946	0.896386	
	947	0.622487	
	948	1.50631	
	949	0.629343	
	950	0.978118	
	951	0.593024	
	952	0.970043	
	953	0.619566	
	954	0.77939	
	955	0.63688	
	956	0.684021	
	957	0.794526	
	958	0.599451	
	959	0.85504	
	960	0.478936	
	961	0.901708	
	962	0.475083	
	963	0.808228	
	964	0.540521	
	965	1.05913	
	966	0.941552	
	967	0.6892	
	968	0.857083	
	969	0.77803	
	970	1.21003	
	971	0.496541	
	972	0.768446	
	973	0.59719	
	974	1.1189	
	975	0.609563	
	976	0.810754	
	977	0.51491	
	978	1.0775	
	979	0.823283	
	980	0.601805	
	981	0.759577	
	982	0.739921	
	983	0.853795	
	984	0.423946	
	985	1.01977	
	986	0.431431	
	987	1.20417	
	988	0.787451	
	989	0.974683	
	990	0.741142	
	991	0.975161	
	992	0.847146	
	993	0.451628	
	994	0.65284	
	995	0.36114	
	996	0.90515	
	997	0.582218	
	998	0.777026	
	999	0.565485	
	1000	0.763748	
	1001	1.29252	
	1002	0.561278	
	1003	0.872018	
	1004	0.621486	
	1005	1.16063	
	1006	0.635149	
	1007	0.705157	
	1008	0.671936	
	1009	1.06599	
	1010	0.878524	
	1011	0.567365	
	1012	0.742209	
	1013	0.646274	
	1014	0.948033	
	1015	0.461575	
	1016	0.876769	
	1017	0.567319	
	1018	0.906364	
	1019	0.591109	
	1020	0.756881	
	1021	0.526863	
	1022	0.625852	
	1023	0.837811	
	1024	0.458856	
	1025	0.740202	
	1026	0.524747	
	1027	1.26339	
	1028	0.79674	
	1029	0.746762	
	1030	0.498066	
	1031	0.680846	
	1032	0.797816	
	1033	0.427437	
	1034	0.668648	
	1035	0.463262	
	1036	0.910577	
	1037	0.656479	
	1038	0.541919	
	1039	0.535074	
	1040	0.530471	
	1041	1.0313	
	1042	0.593044	
	1043	0.606227	
	1044	0.446317	
	1045	0.782918	
	1046	0.924982	
	1047	0.549025	
	1048	0.683019	
	1049	0.568229	
	1050	0.808716	
	1051	0.691728	
	1052	0.669161	
	1053	0.989397	
	1054	0.611047	
	1055	0.724348	
	1056	0.595612	
	1057	0.744561	
	1058	0.576787	
	1059	0.787379	
	1060	0.817063	
	1061	0.638279	
	1062	0.457594	
	1063	0.518209	
	1064	0.789023	
	1065	0.813113	
	1066	0.606609	
	1067	0.624116	
	1068	0.683818	
	1069	0.918862	
	1070	0.62813	
	1071	0.624494	
	1072	0.559598	
	1073	0.744341	
	1074	0.654377	
	1075	0.929242	
	1076	0.802474	
	1077	0.823745	
	1078	1.07989	
	1079	0.659033	
	1080	0.669594	
	1081	0.430626	
	1082	0.538207	
	1083	0.447778	
	1084	0.50631	
	1085	0.452597	
	1086	0.455405	
	1087	0.526121	
	1088	0.377052	
	1089	0.373013	
	1090	0.330955	
	1091	0.339648	
	1092	0.317445	
	1093	0.382002	
	1094	0.360716	
	1095	0.330799	
	1096	0.334378	
	1097	0.328816	
	1098	0.3224	
	1099	0.366864	
	1100	0.392489	
	1101	0.348329	
	1102	0.351835	
	1103	0.381669	
	1104	0.426035	
	1105	0.333678	
	1106	0.330263	
	1107	0.473165	
	1108	0.579479	
	1109	0.44161	
	1110	0.348614	
	1111	0.39587	
	1112	0.407846	
	1113	0.448595	
	1114	0.42636	
	1115	0.4604	
	1116	0.419609	
	1117	0.438735	
	1118	0.398657	
	1119	0.53453	
	1120	0.553304	
	1121	0.582809	
	1122	0.775732	
	1123	0.801859	
	1124	0.918677	
	1125	0.90819	
	1126	1.08816	
	1127	1.14507	
	1128	1.17385	
	1129	1.32442	
	1130	1.47253	
	1131	1.77892	
	1132	1.58834	
	1133	1.67242	
	1134	1.86823	
	1135	1.84136	
	1136	1.87208	
	1137	1.62558	
	1138	1.57808	
	1139	1.73624	
	1140	1.60059	
	1141	1.84543	
	1142	1.74615	
	1143	1.43639	
	1144	1.50371	
	1145	1.39145	
	1146	1.13384	
	1147	1.37316	
	1148	1.35911	
	1149	1.43537	
	1150	1.33922	
	1151	1.48627	
	1152	1.46323	
	1153	1.34236	
	1154	1.29291	
	1155	1.32742	
	1156	1.63409	
	1157	1.29562	
	1158	1.54759	
	1159	1.34772	
	1160	1.86781	
	1161	1.62577	
	1162	1.69884	
	1163	1.90328	
	1164	2.72423	
	1165	2.39018	
	1166	3.04675	
	1167	2.15058	
	1168	1.60085	
	1169	1.14179	
	1170	1.21524	
	1171	1.28468	
	1172	1.15252	
	1173	1.24965	
	1174	1.1818	
	1175	1.19138	
	1176	1.11256	
	1177	1.19395	
	1178	1.07883	
	1179	1.04237	
	1180	1.17667	
	1181	1.39564	
	1182	1.44452	
	1183	1.36086	
	1184	1.42794	
	1185	1.30301	
	1186	1.01145	
	1187	1.10865	
	1188	0.987687	
	1189	0.996584	
	1190	0.851789	
	1191	0.825881	
	1192	0.99698	
	1193	0.844517	
	1194	0.88448	
	1195	1.11734	
	1196	1.05801	
	1197	1.09887	
	1198	0.782227	
	1199	0.677609	
	1200	0.671608	
	1201	0.559943	
	1202	0.724605	
	1203	0.782116	
	1204	0.675636	
	1205	0.73093	
	1206	1.16252	
	1207	0.94711	
	1208	1.08087	
	1209	1.42271	
	1210	1.29722	
	1211	1.60508	
	1212	1.71966	
	1213	1.69002	
	1214	1.6502	
	1215	0.977272	
	1216	0.929718	
	1217	0.728977	
	1218	0.843974	
	1219	0.592101	
	1220	0.536678	
	1221	0.707266	
	1222	0.992203	
	1223	0.774384	
	1224	1.05808	
	1225	1.197	
	1226	1.32782	
	1227	1.58011	
	1228	1.48914	
	1229	1.49116	
	1230	1.64928	
	1231	1.6657	
	1232	0.944552	
	1233	0.908069	
	1234	0.903799	
	1235	0.825203	
	1236	0.936338	
	1237	1.21986	
	1238	0.90589	
	1239	0.891195	
	1240	0.737018	
	1241	0.780622	
	1242	0.945945	
	1243	0.886324	
	1244	0.850289	
	1245	0.816039	
	1246	0.824976	
	1247	0.75217	
	1248	0.555692	
	1249	0.811781	
	1250	0.714801	
	1251	0.762923	
	1252	0.698067	
	1253	0.733465	
	1254	0.58236	
	1255	0.659639	
	1256	0.808724	
	1257	0.78419	
	1258	0.788574	
	1259	0.80727	
	1260	0.721911	
	1261	1.17783	
	1262	1.31296	
	1263	1.45192	
	1264	1.55636	
	1265	1.27071	
	1266	1.81729	
	1267	2.13078	
	1268	2.21189	
	1269	2.08592	
	1270	1.43315	
	1271	2.07846	
	1272	2.22315	
	1273	2.10309	
	1274	1.45028	
	1275	0.969466	
	1276	1.80637	
	1277	1.85472	
	1278	1.18787	
	1279	0.856715	
	1280	0.880198	
	1281	1.0677	
	1282	1.31125	
	1283	0.977245	
	1284	0.947385	
	1285	0.74372	
	1286	0.672066	
	1287	0.812153	
	1288	0.799744	
	1289	0.873467	
	1290	1.04202	
	1291	1.22059	
	1292	1.55908	
	1293	1.60978	
	1294	1.88138	
	1295	2.47564	
	1296	2.87673	
	1297	1.70079	
	1298	1.65627	
	1299	1.38386	
	1300	1.33209	
	1301	0.951229	
	1302	0.97369	
	1303	1.07866	
	1304	0.909708	
	1305	1.33548	
	1306	1.29607	
	1307	1.09786	
	1308	1.04953	
	1309	0.879947	
	1310	1.14279	
	1311	1.84523	
	1312	2.11853	
	1313	2.37614	
	1314	3.21533	
	1315	3.27373	
	1316	3.11591	
	1317	2.84266	
	1318	2.62826	
	1319	2.40684	
	1320	1.71541	
	1321	2.05062	
	1322	2.0005	
	1323	1.97907	
	1324	2.10216	
	1325	2.58998	
	1326	3.51295	
	1327	3.32797	
	1328	2.60294	
	1329	2.47393	
	1330	2.20727	
	1331	2.44695	
	1332	2.46706	
	1333	2.384	
	1334	2.44237	
	1335	2.37394	
	1336	2.50005	
	1337	2.40258	
	1338	2.18451	
	1339	1.77693	
	1340	1.73784	
	1341	1.79918	
	1342	1.88707	
	1343	2.00098	
	1344	1.97135	
	1345	2.60241	
	1346	2.79649	
	1347	2.33519	
	1348	1.99412	
	1349	1.95293	
	1350	1.59646	
	1351	1.95513	
	1352	2.22422	
	1353	2.54256	
	1354	1.99534	
	1355	1.9568	
	1356	2.31457	
	1357	2.36259	
	1358	1.87552	
	1359	1.8932	
	1360	1.62073	
	1361	1.72645	
	1362	1.5315	
	1363	1.55103	
	1364	1.44564	
	1365	1.69964	
	1366	3.05645	
	1367	4.21192	
	1368	4.91829	
	1369	3.29257	
	1370	2.40334	
	1371	2.17938	
	1372	2.06421	
	1373	1.93739	
	1374	1.80118	
	1375	1.90893	
	1376	1.69941	
	1377	1.72132	
	1378	1.41244	
	1379	3.12053	
	1380	4.00523	
	1381	4.66356	
	1382	3.81424	
	1383	3.64674	
	1384	3.782	
	1385	3.85372	
	1386	3.53173	
	1387	2.66413	
	1388	4.1535	
	1389	4.79693	
	1390	3.57848	
	1391	2.93745	
	1392	2.22076	
	1393	3.02366	
	1394	3.28221	
	1395	3.74027	
	1396	3.34975	
	1397	2.88083	
	1398	2.87538	
	1399	2.60586	
	1400	2.96902	
	1401	2.34097	
	1402	2.19953	
	1403	2.04469	
	1404	2.21595	
	1405	2.40991	
	1406	2.44928	
	1407	2.22394	
	1408	3.11136	
	1409	2.27653	
	1410	2.29347	
	1411	2.32308	
	1412	2.10275	
	1413	2.55215	
	1414	2.2772	
	1415	2.21002	
	1416	2.361	
	1417	1.80423	
	1418	2.63158	
	1419	3.10623	
	1420	2.40388	
	1421	1.75649	
	1422	1.35962	
	1423	2.02676	
	1424	2.44624	
	1425	3.18392	
	1426	2.5973	
	1427	2.46976	
	1428	2.58951	
	1429	2.07464	
	1430	2.22078	
